Lot_ID,Product_ID,Expiry_Date
LOT-0001,PRD-001,8/2/2028
LOT-0002,PRD-001,8/17/2025
LOT-0003,PRD-001,2/21/2025
LOT-0004,PRD-001,7/18/2026
LOT-0005,PRD-001,5/17/2026
LOT-0006,PRD-001,4/3/2026
LOT-0007,PRD-001,10/13/2025
LOT-0008,PRD-001,7/29/2025
LOT-0009,PRD-001,10/17/2028
LOT-0010,PRD-001,1/22/2028
LOT-0011,PRD-002,6/28/2025
LOT-0012,PRD-002,4/24/2028
LOT-0013,PRD-002,5/15/2027
LOT-0014,PRD-002,3/7/2025
LOT-0015,PRD-002,3/3/2025
LOT-0016,PRD-002,7/11/2025
LOT-0017,PRD-002,3/24/2026
LOT-0018,PRD-002,4/22/2026
LOT-0019,PRD-002,11/1/2027
LOT-0020,PRD-002,5/17/2028
LOT-0021,PRD-003,2/24/2025
LOT-0022,PRD-003,2/24/2028
LOT-0023,PRD-003,2/12/2026
LOT-0024,PRD-003,8/23/2028
LOT-0025,PRD-003,12/7/2028
LOT-0026,PRD-003,1/22/2028
LOT-0027,PRD-003,5/10/2027
LOT-0028,PRD-003,3/28/2026
LOT-0029,PRD-003,7/9/2027
LOT-0030,PRD-003,4/21/2028
LOT-0031,PRD-004,7/24/2026
LOT-0032,PRD-004,1/14/2025
LOT-0033,PRD-004,11/23/2025
LOT-0034,PRD-004,11/30/2028
LOT-0035,PRD-004,5/16/2027
LOT-0036,PRD-004,11/28/2026
LOT-0037,PRD-004,7/24/2026
LOT-0038,PRD-004,11/15/2025
LOT-0039,PRD-004,3/17/2026
LOT-0040,PRD-004,11/21/2026
LOT-0041,PRD-005,7/29/2025
LOT-0042,PRD-005,7/9/2025
LOT-0043,PRD-005,2/18/2027
LOT-0044,PRD-005,7/18/2025
LOT-0045,PRD-005,1/6/2027
LOT-0046,PRD-005,12/6/2026
LOT-0047,PRD-005,5/21/2028
LOT-0048,PRD-005,6/26/2026
LOT-0049,PRD-005,3/30/2025
LOT-0050,PRD-005,7/30/2027
LOT-0051,PRD-006,1/4/2028
LOT-0052,PRD-006,9/13/2025
LOT-0053,PRD-006,2/15/2027
LOT-0054,PRD-006,6/11/2025
LOT-0055,PRD-006,2/5/2028
LOT-0056,PRD-006,8/24/2026
LOT-0057,PRD-006,7/11/2028
LOT-0058,PRD-006,6/20/2028
LOT-0059,PRD-006,1/11/2027
LOT-0060,PRD-006,3/28/2028
LOT-0061,PRD-007,1/29/2026
LOT-0062,PRD-007,12/13/2028
LOT-0063,PRD-007,5/23/2025
LOT-0064,PRD-007,4/4/2025
LOT-0065,PRD-007,9/16/2028
LOT-0066,PRD-007,4/12/2026
LOT-0067,PRD-007,8/16/2026
LOT-0068,PRD-007,6/13/2025
LOT-0069,PRD-007,4/22/2026
LOT-0070,PRD-007,7/26/2025
LOT-0071,PRD-008,2/18/2027
LOT-0072,PRD-008,7/24/2026
LOT-0073,PRD-008,7/18/2027
LOT-0074,PRD-008,7/25/2028
LOT-0075,PRD-008,1/18/2027
LOT-0076,PRD-008,11/30/2025
LOT-0077,PRD-008,1/29/2027
LOT-0078,PRD-008,12/29/2026
LOT-0079,PRD-008,3/6/2026
LOT-0080,PRD-008,10/4/2028
LOT-0081,PRD-009,7/1/2026
LOT-0082,PRD-009,12/8/2028
LOT-0083,PRD-009,10/31/2028
LOT-0084,PRD-009,8/20/2028
LOT-0085,PRD-009,5/27/2025
LOT-0086,PRD-009,6/1/2028
LOT-0087,PRD-009,7/24/2028
LOT-0088,PRD-009,12/17/2025
LOT-0089,PRD-009,12/30/2027
LOT-0090,PRD-009,5/17/2026
LOT-0091,PRD-010,12/1/2025
LOT-0092,PRD-010,8/5/2027
LOT-0093,PRD-010,2/17/2027
LOT-0094,PRD-010,7/7/2026
LOT-0095,PRD-010,8/3/2028
LOT-0096,PRD-010,11/10/2028
LOT-0097,PRD-010,2/15/2028
LOT-0098,PRD-010,3/26/2026
LOT-0099,PRD-010,11/3/2028
LOT-0100,PRD-010,10/27/2026
LOT-0101,PRD-011,4/25/2025
LOT-0102,PRD-011,4/15/2026
LOT-0103,PRD-011,3/7/2025
LOT-0104,PRD-011,10/9/2026
LOT-0105,PRD-011,4/2/2027
LOT-0106,PRD-011,7/3/2026
LOT-0107,PRD-011,5/16/2025
LOT-0108,PRD-011,3/9/2026
LOT-0109,PRD-011,3/7/2028
LOT-0110,PRD-011,10/7/2026
LOT-0111,PRD-012,3/12/2026
LOT-0112,PRD-012,9/4/2028
LOT-0113,PRD-012,10/20/2027
LOT-0114,PRD-012,3/22/2027
LOT-0115,PRD-012,8/9/2028
LOT-0116,PRD-012,7/29/2027
LOT-0117,PRD-012,10/20/2025
LOT-0118,PRD-012,6/27/2026
LOT-0119,PRD-012,10/13/2025
LOT-0120,PRD-012,5/21/2026
LOT-0121,PRD-013,2/24/2028
LOT-0122,PRD-013,1/9/2028
LOT-0123,PRD-013,6/23/2026
LOT-0124,PRD-013,4/12/2028
LOT-0125,PRD-013,5/28/2027
LOT-0126,PRD-013,4/10/2028
LOT-0127,PRD-013,3/29/2027
LOT-0128,PRD-013,1/12/2027
LOT-0129,PRD-013,3/26/2026
LOT-0130,PRD-013,10/11/2025
LOT-0131,PRD-014,11/10/2027
LOT-0132,PRD-014,10/8/2027
LOT-0133,PRD-014,7/6/2025
LOT-0134,PRD-014,4/7/2025
LOT-0135,PRD-014,8/13/2025
LOT-0136,PRD-014,11/10/2025
LOT-0137,PRD-014,7/9/2028
LOT-0138,PRD-014,11/24/2025
LOT-0139,PRD-014,10/25/2028
LOT-0140,PRD-014,5/15/2027
LOT-0141,PRD-015,5/6/2028
LOT-0142,PRD-015,5/11/2025
LOT-0143,PRD-015,2/28/2027
LOT-0144,PRD-015,2/21/2027
LOT-0145,PRD-015,5/5/2028
LOT-0146,PRD-015,8/17/2027
LOT-0147,PRD-015,12/20/2027
