Product_ID,Product_Name,Principal_ID,Principal_Name,Product_Value,Product_Volume_cm3
PRD-001,Amoxicillin 500mg (Apex),APX,Apex Pharma Inc.,139000,56
PRD-002,Paracetamol 500mg (Apex),APX,Apex Pharma Inc.,306000,112
PRD-003,Metformin ER (Apex),APX,Apex Pharma Inc.,253000,85
PRD-004,Atorvastatin 20mg (Apex),APX,Apex Pharma Inc.,129000,223
PRD-005,Omeprazole 20mg (Apex),APX,Apex Pharma Inc.,583000,72
PRD-006,Azithromycin 500mg (Apex),APX,Apex Pharma Inc.,457000,58
PRD-007,Ibuprofen 400mg (Apex),APX,Apex Pharma Inc.,55000,73
PRD-008,Cetirizine 10mg (Apex),APX,Apex Pharma Inc.,248000,109
PRD-009,Losartan Potassium (Apex),APX,Apex Pharma Inc.,542000,204
PRD-010,Amlodipine 5mg (Apex),APX,Apex Pharma Inc.,52000,193
PRD-011,Vitamin C (Apex),APX,Apex Pharma Inc.,228000,233
PRD-012,Hydrochlorothiazide 25mg (Apex),APX,Apex Pharma Inc.,583000,157
PRD-013,Amoxicillin 500mg (Beacon),BEA,Beacon Therapeutics,250000,164
PRD-014,Paracetamol 500mg (Beacon),BEA,Beacon Therapeutics,309000,51
PRD-015,Metformin ER (Beacon),BEA,Beacon Therapeutics,188000,228
PRD-016,Atorvastatin 20mg (Beacon),BEA,Beacon Therapeutics,457000,137
PRD-017,Omeprazole 20mg (Beacon),BEA,Beacon Therapeutics,309000,89
PRD-018,Azithromycin 500mg (Beacon),BEA,Beacon Therapeutics,245000,245
PRD-019,Ibuprofen 400mg (Beacon),BEA,Beacon Therapeutics,369000,76
PRD-020,Cetirizine 10mg (Beacon),BEA,Beacon Therapeutics,119000,147
PRD-021,Losartan Potassium (Beacon),BEA,Beacon Therapeutics,124000,141
PRD-022,Amlodipine 5mg (Beacon),BEA,Beacon Therapeutics,377000,204
PRD-023,Vitamin C (Beacon),BEA,Beacon Therapeutics,295000,61
PRD-024,Hydrochlorothiazide 25mg (Beacon),BEA,Beacon Therapeutics,495000,187
PRD-025,Amoxicillin 500mg (Core),COR,Core Biologics,152000,146
PRD-026,Paracetamol 500mg (Core),COR,Core Biologics,105000,191
PRD-027,Metformin ER (Core),COR,Core Biologics,325000,210
PRD-028,Atorvastatin 20mg (Core),COR,Core Biologics,395000,197
PRD-029,Omeprazole 20mg (Core),COR,Core Biologics,221000,230
PRD-030,Azithromycin 500mg (Core),COR,Core Biologics,96000,61
PRD-031,Ibuprofen 400mg (Core),COR,Core Biologics,258000,247
PRD-032,Cetirizine 10mg (Core),COR,Core Biologics,321000,70
PRD-033,Losartan Potassium (Core),COR,Core Biologics,263000,75
PRD-034,Amlodipine 5mg (Core),COR,Core Biologics,414000,121
PRD-035,Vitamin C (Core),COR,Core Biologics,489000,212
PRD-036,Hydrochlorothiazide 25mg (Core),COR,Core Biologics,398000,91
PRD-037,Amoxicillin 500mg (Delta),DEL,Delta Healthcare,404000,140
PRD-038,Paracetamol 500mg (Delta),DEL,Delta Healthcare,239000,221
PRD-039,Metformin ER (Delta),DEL,Delta Healthcare,298000,229
PRD-040,Atorvastatin 20mg (Delta),DEL,Delta Healthcare,98000,205
PRD-041,Omeprazole 20mg (Delta),DEL,Delta Healthcare,200000,186
PRD-042,Azithromycin 500mg (Delta),DEL,Delta Healthcare,275000,91
PRD-043,Ibuprofen 400mg (Delta),DEL,Delta Healthcare,498000,147
PRD-044,Cetirizine 10mg (Delta),DEL,Delta Healthcare,301000,213
PRD-045,Losartan Potassium (Delta),DEL,Delta Healthcare,595000,106
PRD-046,Amlodipine 5mg (Delta),DEL,Delta Healthcare,357000,246
PRD-047,Vitamin C (Delta),DEL,Delta Healthcare,82000,108
PRD-048,Hydrochlorothiazide 25mg (Delta),DEL,Delta Healthcare,57000,130
PRD-049,Amoxicillin 500mg (Elevate),ELE,Elevate Lifesciences,435000,118
PRD-050,Paracetamol 500mg (Elevate),ELE,Elevate Lifesciences,92000,104
PRD-051,Metformin ER (Elevate),ELE,Elevate Lifesciences,347000,104
PRD-052,Atorvastatin 20mg (Elevate),ELE,Elevate Lifesciences,536000,151
PRD-053,Omeprazole 20mg (Elevate),ELE,Elevate Lifesciences,494000,86
PRD-054,Azithromycin 500mg (Elevate),ELE,Elevate Lifesciences,296000,85
PRD-055,Ibuprofen 400mg (Elevate),ELE,Elevate Lifesciences,277000,240
PRD-056,Cetirizine 10mg (Elevate),ELE,Elevate Lifesciences,599000,187
PRD-057,Losartan Potassium (Elevate),ELE,Elevate Lifesciences,294000,241
PRD-058,Amlodipine 5mg (Elevate),ELE,Elevate Lifesciences,463000,199
PRD-059,Vitamin C (Elevate),ELE,Elevate Lifesciences,433000,142
PRD-060,Hydrochlorothiazide 25mg (Elevate),ELE,Elevate Lifesciences,249000,85
PRD-061,Amoxicillin 500mg (Frontier),FRO,Frontier Meds,546000,176
PRD-062,Paracetamol 500mg (Frontier),FRO,Frontier Meds,118000,243
PRD-063,Metformin ER (Frontier),FRO,Frontier Meds,73000,78
PRD-064,Atorvastatin 20mg (Frontier),FRO,Frontier Meds,181000,210
PRD-065,Omeprazole 20mg (Frontier),FRO,Frontier Meds,188000,224
PRD-066,Azithromycin 500mg (Frontier),FRO,Frontier Meds,457000,202
PRD-067,Ibuprofen 400mg (Frontier),FRO,Frontier Meds,90000,148
PRD-068,Cetirizine 10mg (Frontier),FRO,Frontier Meds,415000,202
PRD-069,Losartan Potassium (Frontier),FRO,Frontier Meds,504000,185
PRD-070,Amlodipine 5mg (Frontier),FRO,Frontier Meds,282000,191
PRD-071,Vitamin C (Frontier),FRO,Frontier Meds,36000,224
PRD-072,Hydrochlorothiazide 25mg (Frontier),FRO,Frontier Meds,142000,224
PRD-073,Amoxicillin 500mg (Genesis),GEN,Genesis Organics,574000,242
