Sales_Date,Branch_ID,Lot_ID,Sales_Qty,Sales_Value
2025-01,WH-JKT01,LOT-0229,231,113097600
2025-01,WH-JKT01,LOT-0602,286,47504600
2025-01,WH-JKT01,LOT-0891,338,60671000
2025-01,WH-JKT01,LOT-0324,12,1616400
2025-01,WH-JKT01,LOT-0930,390,110175000
2025-01,WH-JKT01,LOT-0007,90,11646000
2025-01,WH-JKT01,LOT-0540,251,23744600
2025-01,WH-JKT01,LOT-1026,210,114702000
2025-01,WH-JKT01,LOT-0366,89,32298100
2025-01,WH-JKT01,LOT-1040,204,21746400
2025-01,WH-JKT01,LOT-0218,237,53751600
2025-01,WH-JKT01,LOT-0612,361,151908800
2025-01,WH-JKT01,LOT-0408,289,140540700
2025-01,WH-JKT01,LOT-0314,254,82575400
2025-01,WH-JKT01,LOT-0766,156,11434800
2025-01,WH-JKT01,LOT-0331,34,3906600
2025-01,WH-JKT01,LOT-1105,282,101886600
2025-01,WH-JKT01,LOT-1087,165,64960500
2025-01,WH-JKT01,LOT-0002,304,39945600
2025-01,WH-JKT01,LOT-0664,276,48658800
2025-01,WH-JKT01,LOT-1001,265,38107000
2025-01,WH-JKT01,LOT-0040,100,23750000
2025-01,WH-JKT01,LOT-0230,39,18595200
2025-01,WH-JKT01,LOT-0744,125,28975000
2025-01,WH-JKT01,LOT-0630,296,103274400
2025-01,WH-JKT01,LOT-0491,309,25461600
2025-01,WH-JKT01,LOT-0119,46,2364400
2025-01,WH-JKT01,LOT-0494,303,28027500
2025-01,WH-JKT01,LOT-1162,166,6191800
2025-01,WH-JKT01,LOT-0162,109,5580800
2025-01,WH-JKT01,LOT-0176,165,88720500
2025-01,WH-JKT01,LOT-0996,207,45167400
2025-01,WH-JKT01,LOT-0142,335,80165500
2025-01,WH-JKT01,LOT-1091,166,15471200
2025-01,WH-JKT01,LOT-0258,42,6728400
2025-01,WH-JKT01,LOT-0263,323,154943100
2025-01,WH-JKT01,LOT-0974,56,20966400
2025-01,WH-JKT01,LOT-1126,114,54651600
2025-01,WH-JKT01,LOT-0339,72,8884800
2025-01,WH-JKT01,LOT-0543,40,10792000
2025-01,WH-JKT01,LOT-1081,194,80413000
2025-01,WH-JKT01,LOT-0867,229,124805000
2025-01,WH-JKT01,LOT-0434,365,136911500
2025-01,WH-JKT01,LOT-0412,339,185975400
2025-01,WH-JKT01,LOT-0639,346,83801200
2025-01,WH-JKT01,LOT-0818,158,48964200
2025-01,WH-JKT01,LOT-0765,58,4935800
2025-01,WH-JKT01,LOT-0898,73,11271200
2025-01,WH-JKT01,LOT-1060,59,8071200
2025-01,WH-JKT01,LOT-0925,84,21042000
2025-01,WH-JKT01,LOT-0248,314,8697800
2025-01,WH-JKT01,LOT-0508,180,11376000
2025-01,WH-JKT01,LOT-0461,329,109129300
2025-01,WH-JKT01,LOT-0132,263,61805000
2025-01,WH-JKT01,LOT-0693,31,5167700
2025-01,WH-JKT01,LOT-0044,221,56797000
2025-01,WH-JKT01,LOT-1135,27,13000500
2025-01,WH-JKT01,LOT-0472,399,138093900
2025-01,WH-JKT01,LOT-0452,139,72363400
2025-01,WH-JKT01,LOT-0015,231,11088000
2025-01,WH-JKT01,LOT-0146,223,56441300
2025-01,WH-JKT01,LOT-0121,62,6435600
2025-01,WH-JKT01,LOT-0469,358,119930000
2025-01,WH-JKT01,LOT-0139,284,60378400
2025-01,WH-JKT01,LOT-0065,194,24191800
2025-01,WH-JKT01,LOT-0677,80,42752000
2025-01,WH-JKT01,LOT-1053,26,3247400
2025-01,WH-JKT01,LOT-0488,25,5690000
2025-01,WH-JKT01,LOT-0571,112,34137600
2025-01,WH-JKT01,LOT-0995,346,75012800
2025-01,WH-JKT01,LOT-0439,291,123122100
2025-01,WH-JKT01,LOT-0271,213,83006100
2025-01,WH-JKT01,LOT-1170,388,12299600
2025-01,WH-JKT01,LOT-1181,126,73987200
2025-01,WH-JKT01,LOT-0969,95,45144000
2025-01,WH-JKT01,LOT-0498,17,1445000
2025-01,WH-JKT01,LOT-0834,175,42455000
2025-01,WH-JKT01,LOT-0390,215,64091500
2025-01,WH-JKT01,LOT-0194,381,224828100
2025-01,WH-JKT01,LOT-0199,141,72488100
2025-01,WH-JKT01,LOT-0883,364,156738400
