Stock_Date,Branch_ID,Lot_ID,Product_Qty
1/31/2025,WH-JKT01,LOT-0229,525
1/31/2025,WH-JKT01,LOT-0052,535
1/31/2025,WH-JKT01,LOT-0564,1956
1/31/2025,WH-JKT01,LOT-0502,2261
1/31/2025,WH-JKT01,LOT-0458,686
1/31/2025,WH-JKT01,LOT-0286,1095
1/31/2025,WH-JKT01,LOT-0210,2171
1/31/2025,WH-JKT01,LOT-1117,2494
1/31/2025,WH-JKT01,LOT-0179,1743
1/31/2025,WH-JKT01,LOT-0865,877
1/31/2025,WH-JKT01,LOT-0066,2218
1/31/2025,WH-JKT01,LOT-0062,833
1/31/2025,WH-JKT01,LOT-0192,1286
1/31/2025,WH-JKT01,LOT-0448,1644
1/31/2025,WH-JKT01,LOT-0477,1539
1/31/2025,WH-JKT01,LOT-1035,1804
1/31/2025,WH-JKT01,LOT-0055,2129
1/31/2025,WH-JKT01,LOT-1150,1859
1/31/2025,WH-JKT01,LOT-0408,505
1/31/2025,WH-JKT01,LOT-0860,1025
1/31/2025,WH-JKT01,LOT-0452,930
1/31/2025,WH-JKT01,LOT-0920,272
1/31/2025,WH-JKT01,LOT-0570,1394
1/31/2025,WH-JKT01,LOT-0014,96
1/31/2025,WH-JKT01,LOT-0327,2419
1/31/2025,WH-JKT01,LOT-0866,2278
1/31/2025,WH-JKT01,LOT-0697,952
1/31/2025,WH-JKT01,LOT-0319,2420
1/31/2025,WH-JKT01,LOT-0441,912
1/31/2025,WH-JKT01,LOT-0690,39
1/31/2025,WH-JKT01,LOT-0190,300
1/31/2025,WH-JKT01,LOT-0779,251
1/31/2025,WH-JKT01,LOT-0199,947
1/31/2025,WH-JKT01,LOT-0736,286
1/31/2025,WH-JKT01,LOT-0705,138
1/31/2025,WH-JKT01,LOT-0542,1363
1/31/2025,WH-JKT01,LOT-0089,300
1/31/2025,WH-JKT01,LOT-0941,2115
1/31/2025,WH-JKT01,LOT-1099,984
1/31/2025,WH-JKT01,LOT-0256,1150
1/31/2025,WH-JKT01,LOT-0776,1998
1/31/2025,WH-JKT01,LOT-0162,887
1/31/2025,WH-JKT01,LOT-1131,2218
1/31/2025,WH-JKT01,LOT-0601,551
1/31/2025,WH-JKT01,LOT-0741,2348
1/31/2025,WH-JKT01,LOT-1183,2370
1/31/2025,WH-JKT01,LOT-0394,1946
1/31/2025,WH-JKT01,LOT-0143,1005
1/31/2025,WH-JKT01,LOT-0094,1947
1/31/2025,WH-JKT01,LOT-0467,1677
1/31/2025,WH-JKT01,LOT-0593,789
1/31/2025,WH-JKT01,LOT-0164,396
1/31/2025,WH-JKT01,LOT-0207,407
1/31/2025,WH-JKT01,LOT-0929,1775
1/31/2025,WH-JKT01,LOT-0748,1461
1/31/2025,WH-JKT01,LOT-0334,1744
1/31/2025,WH-JKT01,LOT-0759,1693
1/31/2025,WH-JKT01,LOT-0728,1922
1/31/2025,WH-JKT01,LOT-0430,231
1/31/2025,WH-JKT01,LOT-0547,413
1/31/2025,WH-JKT01,LOT-0147,258
1/31/2025,WH-JKT01,LOT-0351,1659
1/31/2025,WH-JKT01,LOT-1094,1399
1/31/2025,WH-JKT01,LOT-0335,457
1/31/2025,WH-JKT01,LOT-0947,1028
1/31/2025,WH-JKT01,LOT-0778,794
1/31/2025,WH-JKT01,LOT-0553,789
1/31/2025,WH-JKT01,LOT-1141,2206
1/31/2025,WH-JKT01,LOT-0450,1847
1/31/2025,WH-JKT01,LOT-0665,584
1/31/2025,WH-JKT01,LOT-0115,1738
1/31/2025,WH-JKT01,LOT-0470,761
1/31/2025,WH-JKT01,LOT-0647,1150
1/31/2025,WH-JKT01,LOT-0822,1904
1/31/2025,WH-JKT01,LOT-0549,1033
1/31/2025,WH-JKT01,LOT-0136,318
1/31/2025,WH-JKT01,LOT-0433,1825
1/31/2025,WH-JKT01,LOT-1162,2264
1/31/2025,WH-JKT01,LOT-0645,411
1/31/2025,WH-JKT01,LOT-0436,217
1/31/2025,WH-JKT01,LOT-1023,2224
1/31/2025,WH-JKT01,LOT-0811,70
1/31/2025,WH-JKT01,LOT-0940,392
1/31/2025,WH-JKT01,LOT-0293,978
1/31/2025,WH-JKT01,LOT-0543,691
1/31/2025,WH-JKT01,LOT-0506,1674
1/31/2025,WH-JKT01,LOT-1104,1999
1/31/2025,WH-JKT01,LOT-0539,1981
1/31/2025,WH-JKT01,LOT-1198,885
1/31/2025,WH-JKT01,LOT-0878,1652
1/31/2025,WH-JKT01,LOT-1196,250
1/31/2025,WH-JKT01,LOT-0818,684
1/31/2025,WH-JKT01,LOT-0742,1562
1/31/2025,WH-JKT01,LOT-0284,18
1/31/2025,WH-JKT01,LOT-1044,1609
1/31/2025,WH-JKT01,LOT-1011,1096
1/31/2025,WH-JKT01,LOT-0187,1873
1/31/2025,WH-JKT01,LOT-0097,1178
1/31/2025,WH-JKT01,LOT-0225,1742
1/31/2025,WH-JKT01,LOT-0314,2286
1/31/2025,WH-JKT01,LOT-0328,2003
1/31/2025,WH-JKT01,LOT-0131,644
1/31/2025,WH-JKT01,LOT-0789,787
1/31/2025,WH-JKT01,LOT-0782,1225
1/31/2025,WH-JKT01,LOT-0959,901
1/31/2025,WH-JKT01,LOT-1084,249
1/31/2025,WH-JKT01,LOT-0515,2382
1/31/2025,WH-JKT01,LOT-1134,2230
1/31/2025,WH-JKT01,LOT-0024,259
1/31/2025,WH-JKT01,LOT-0235,1294
1/31/2025,WH-JKT01,LOT-1100,244
1/31/2025,WH-JKT01,LOT-0602,215
1/31/2025,WH-JKT01,LOT-0891,2402
1/31/2025,WH-JKT01,LOT-0324,1962
1/31/2025,WH-JKT01,LOT-0930,2069
1/31/2025,WH-JKT01,LOT-0007,2185
1/31/2025,WH-JKT01,LOT-0540,654
1/31/2025,WH-JKT01,LOT-1026,242
1/31/2025,WH-JKT01,LOT-0366,2090
1/31/2025,WH-JKT01,LOT-1040,338
1/31/2025,WH-JKT01,LOT-0218,771
1/31/2025,WH-JKT01,LOT-0612,290
1/31/2025,WH-JKT01,LOT-0766,2447
1/31/2025,WH-JKT01,LOT-0331,288
1/31/2025,WH-JKT01,LOT-1105,973
1/31/2025,WH-JKT01,LOT-1087,1663
1/31/2025,WH-JKT01,LOT-0002,501
1/31/2025,WH-JKT01,LOT-0664,2343
1/31/2025,WH-JKT01,LOT-1001,1018
1/31/2025,WH-JKT01,LOT-0040,2381
1/31/2025,WH-JKT01,LOT-0230,2445
1/31/2025,WH-JKT01,LOT-0744,172
1/31/2025,WH-JKT01,LOT-0630,345
1/31/2025,WH-JKT01,LOT-0491,1727
1/31/2025,WH-JKT01,LOT-0119,2400
1/31/2025,WH-JKT01,LOT-0494,2325
1/31/2025,WH-JKT01,LOT-0176,2151
1/31/2025,WH-JKT01,LOT-0996,1305
1/31/2025,WH-JKT01,LOT-0142,1078
1/31/2025,WH-JKT01,LOT-1091,846
1/31/2025,WH-SBY01,LOT-0644,2087
1/31/2025,WH-SBY01,LOT-0489,1276
1/31/2025,WH-SBY01,LOT-0544,1682
1/31/2025,WH-SBY01,LOT-0811,1346
1/31/2025,WH-SBY01,LOT-0269,1658
1/31/2025,WH-SBY01,LOT-0615,1221
1/31/2025,WH-SBY01,LOT-0937,2280
1/31/2025,WH-SBY01,LOT-0648,531
1/31/2025,WH-SBY01,LOT-0149,795
1/31/2025,WH-SBY01,LOT-0020,1732
1/31/2025,WH-SBY01,LOT-0939,1562
1/31/2025,WH-SBY01,LOT-1154,722
1/31/2025,WH-SBY01,LOT-0205,2341
1/31/2025,WH-SBY01,LOT-0151,1242
1/31/2025,WH-SBY01,LOT-1102,1673
1/31/2025,WH-SBY01,LOT-0437,2254
1/31/2025,WH-SBY01,LOT-1037,11
1/31/2025,WH-SBY01,LOT-0272,1254
1/31/2025,WH-SBY01,LOT-0715,1185
1/31/2025,WH-SBY01,LOT-0141,870
1/31/2025,WH-SBY01,LOT-0501,1770
1/31/2025,WH-SBY01,LOT-0757,2385
1/31/2025,WH-SBY01,LOT-0584,2494
1/31/2025,WH-SBY01,LOT-0324,1329
1/31/2025,WH-SBY01,LOT-0898,1914
1/31/2025,WH-SBY01,LOT-1113,1819
1/31/2025,WH-SBY01,LOT-0620,1821
1/31/2025,WH-SBY01,LOT-1084,885
1/31/2025,WH-SBY01,LOT-0017,2103
1/31/2025,WH-SBY01,LOT-1136,1948
1/31/2025,WH-SBY01,LOT-0614,705
1/31/2025,WH-SBY01,LOT-0213,357
1/31/2025,WH-SBY01,LOT-0276,1172
1/31/2025,WH-SBY01,LOT-0542,2121
1/31/2025,WH-SBY01,LOT-0237,1382
1/31/2025,WH-SBY01,LOT-0220,392
1/31/2025,WH-SBY01,LOT-1134,972
1/31/2025,WH-SBY01,LOT-0319,1281
1/31/2025,WH-SBY01,LOT-0558,930
1/31/2025,WH-SBY01,LOT-0578,825
1/31/2025,WH-SBY01,LOT-0432,613
1/31/2025,WH-SBY01,LOT-0703,110
1/31/2025,WH-SBY01,LOT-0417,199
1/31/2025,WH-SBY01,LOT-0541,1012
1/31/2025,WH-SBY01,LOT-1036,1956
1/31/2025,WH-SBY01,LOT-1001,308
1/31/2025,WH-SBY01,LOT-0515,1875
1/31/2025,WH-SBY01,LOT-0105,1707
1/31/2025,WH-SBY01,LOT-0190,2367
1/31/2025,WH-SBY01,LOT-0868,806
1/31/2025,WH-SBY01,LOT-0567,1582
1/31/2025,WH-SBY01,LOT-0091,2034
1/31/2025,WH-SBY01,LOT-0008,1646
1/31/2025,WH-SBY01,LOT-0684,1009
1/31/2025,WH-SBY01,LOT-0268,614
1/31/2025,WH-SBY01,LOT-0537,32
1/31/2025,WH-SBY01,LOT-0331,446
1/31/2025,WH-SBY01,LOT-0905,1751
1/31/2025,WH-SBY01,LOT-1130,906
1/31/2025,WH-SBY01,LOT-0876,730
1/31/2025,WH-SBY01,LOT-1149,2131
1/31/2025,WH-SBY01,LOT-0230,1912
1/31/2025,WH-SBY01,LOT-0155,215
1/31/2025,WH-SBY01,LOT-0306,2293
1/31/2025,WH-SBY01,LOT-1118,1030
1/31/2025,WH-SBY01,LOT-0074,507
1/31/2025,WH-SBY01,LOT-1193,1879
1/31/2025,WH-SBY01,LOT-1132,556
1/31/2025,WH-SBY01,LOT-0304,1913
1/31/2025,WH-SBY01,LOT-0881,2185
1/31/2025,WH-SBY01,LOT-0262,2299
1/31/2025,WH-SBY01,LOT-0086,2448
1/31/2025,WH-SBY01,LOT-0632,1309
1/31/2025,WH-SBY01,LOT-0747,1822
1/31/2025,WH-SBY01,LOT-0082,2077
1/31/2025,WH-SBY01,LOT-0733,1757
1/31/2025,WH-SBY01,LOT-0431,2254
1/31/2025,WH-SBY01,LOT-0512,1836
1/31/2025,WH-SBY01,LOT-0211,661
1/31/2025,WH-SBY01,LOT-0725,1954
1/31/2025,WH-SBY01,LOT-1147,1853
1/31/2025,WH-SBY01,LOT-0833,1071
1/31/2025,WH-SBY01,LOT-0317,1022
1/31/2025,WH-SBY01,LOT-0485,1145
1/31/2025,WH-SBY01,LOT-0333,2145
1/31/2025,WH-SBY01,LOT-0363,1994
1/31/2025,WH-SBY01,LOT-0845,989
1/31/2025,WH-SBY01,LOT-0051,1134
1/31/2025,WH-SBY01,LOT-0368,1811
1/31/2025,WH-SBY01,LOT-0681,327
1/31/2025,WH-SBY01,LOT-0844,1180
1/31/2025,WH-SBY01,LOT-0509,970
1/31/2025,WH-SBY01,LOT-0547,1122
1/31/2025,WH-SBY01,LOT-0327,1385
1/31/2025,WH-SBY01,LOT-0222,1319
1/31/2025,WH-SBY01,LOT-0784,2222
1/31/2025,WH-SBY01,LOT-0080,340
1/31/2025,WH-SBY01,LOT-0964,576
1/31/2025,WH-SBY01,LOT-0456,627
1/31/2025,WH-SBY01,LOT-0409,957
1/31/2025,WH-SBY01,LOT-0943,1578
1/31/2025,WH-SBY01,LOT-0717,635
1/31/2025,WH-SBY01,LOT-0626,886
1/31/2025,WH-SBY01,LOT-0467,273
1/31/2025,WH-SBY01,LOT-0457,1709
1/31/2025,WH-SBY01,LOT-0049,1679
1/31/2025,WH-SBY01,LOT-0396,1365
1/31/2025,WH-SBY01,LOT-0817,2232
1/31/2025,WH-SBY01,LOT-0673,1918
1/31/2025,WH-SBY01,LOT-0571,1713
1/31/2025,WH-SBY01,LOT-0143,265
1/31/2025,WH-SBY01,LOT-0572,857
1/31/2025,WH-SBY01,LOT-0720,1730
1/31/2025,WH-SBY01,LOT-1044,1605
1/31/2025,WH-SBY01,LOT-0819,2402
1/31/2025,WH-SBY01,LOT-1099,90
1/31/2025,WH-SBY01,LOT-0679,2368
1/31/2025,WH-SBY01,LOT-0057,1568
1/31/2025,WH-SBY01,LOT-0535,1963
1/31/2025,WH-SBY01,LOT-0366,34
1/31/2025,WH-SBY01,LOT-1190,1450
1/31/2025,WH-SBY01,LOT-0079,1233
1/31/2025,WH-SBY01,LOT-0223,1607
1/31/2025,WH-SBY01,LOT-0890,1726
1/31/2025,WH-SBY01,LOT-0708,2214
1/31/2025,WH-SBY01,LOT-0643,2246
1/31/2025,WH-SBY01,LOT-0894,2480
1/31/2025,WH-SBY01,LOT-1048,913
1/31/2025,WH-SBY01,LOT-0789,2009
1/31/2025,WH-SBY01,LOT-1181,908
1/31/2025,WH-SBY01,LOT-0390,1127
1/31/2025,WH-SBY01,LOT-0522,1795
1/31/2025,WH-SBY01,LOT-0004,1999
1/31/2025,WH-SBY01,LOT-1065,128
1/31/2025,WH-SBY01,LOT-1103,1602
1/31/2025,WH-SBY01,LOT-0404,1386
1/31/2025,WH-SBY01,LOT-0746,1666
1/31/2025,WH-SBY01,LOT-0884,686
1/31/2025,WH-SBY01,LOT-0144,1924
1/31/2025,WH-SBY01,LOT-0677,532
1/31/2025,WH-SBY01,LOT-0256,2197
1/31/2025,WH-SBY01,LOT-0616,120
1/31/2025,WH-BDG01,LOT-1156,1364
1/31/2025,WH-BDG01,LOT-0056,1451
1/31/2025,WH-BDG01,LOT-0172,1868
1/31/2025,WH-BDG01,LOT-0878,1119
1/31/2025,WH-BDG01,LOT-0278,1265
1/31/2025,WH-BDG01,LOT-0946,1039
1/31/2025,WH-BDG01,LOT-0373,954
1/31/2025,WH-BDG01,LOT-0103,504
1/31/2025,WH-BDG01,LOT-0533,798
1/31/2025,WH-BDG01,LOT-0777,1302
1/31/2025,WH-BDG01,LOT-0671,499
1/31/2025,WH-BDG01,LOT-0434,2204
1/31/2025,WH-BDG01,LOT-0932,768
1/31/2025,WH-BDG01,LOT-0670,794
1/31/2025,WH-BDG01,LOT-0692,896
1/31/2025,WH-BDG01,LOT-0570,1993
1/31/2025,WH-BDG01,LOT-0864,1142
1/31/2025,WH-BDG01,LOT-0517,2424
1/31/2025,WH-BDG01,LOT-0168,2158
1/31/2025,WH-BDG01,LOT-0964,2454
1/31/2025,WH-BDG01,LOT-0040,1169
1/31/2025,WH-BDG01,LOT-1105,421
1/31/2025,WH-BDG01,LOT-0107,805
1/31/2025,WH-BDG01,LOT-0717,1223
1/31/2025,WH-BDG01,LOT-0460,941
1/31/2025,WH-BDG01,LOT-0141,1488
1/31/2025,WH-BDG01,LOT-0083,744
